timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-05-31T00:00:00.000Z";"2020-05-31T23:59:59.999Z";"2020-05-31T00:01:01.000Z";"2020-05-31T23:46:01.000Z";"2781";9700.10569689;9700.34389507;9432.29679512;9461.05891806;27773290298.51;173997151929.677;"2020-05-31T23:59:59.999Z"
"2020-05-30T00:00:00.000Z";"2020-05-30T23:59:59.999Z";"2020-05-30T23:17:01.000Z";"2020-05-30T03:52:00.000Z";"2781";9438.91400926;9704.03030928;9366.72941775;9700.41407169;32722975141.2;178390129757.676;"2020-05-30T23:59:59.999Z"
"2020-05-29T00:00:00.000Z";"2020-05-29T23:59:59.999Z";"2020-05-29T00:17:01.000Z";"2020-05-29T11:19:00.000Z";"2781";9528.35562913;9573.66681733;9379.33894613;9439.12439045;32896642044.26;173575756364.005;"2020-05-29T23:59:59.999Z"
"2020-05-28T00:00:00.000Z";"2020-05-28T23:59:59.999Z";"2020-05-28T23:32:01.000Z";"2020-05-28T08:09:06.000Z";"2781";9184.94499772;9546.31960175;9148.45714843;9525.7510947;34367073114.46;175161235290.292;"2020-05-28T23:59:59.999Z"
"2020-05-27T00:00:00.000Z";"2020-05-27T23:59:59.999Z";"2020-05-27T17:58:01.000Z";"2020-05-27T00:04:01.000Z";"2781";8837.3812128;9203.32051535;8834.15742919;9181.01794762;32740536902.33;168814700531.386;"2020-05-27T23:59:59.999Z"
"2020-05-26T00:00:00.000Z";"2020-05-26T23:59:59.999Z";"2020-05-26T08:27:00.000Z";"2020-05-26T16:00:01.000Z";"2781";8909.58607327;8991.9676255;8757.29380384;8835.05306073;29584186947.02;162445535235.104;"2020-05-26T23:59:59.999Z"
"2020-05-25T00:00:00.000Z";"2020-05-25T23:59:59.999Z";"2020-05-25T19:58:00.000Z";"2020-05-25T11:01:02.000Z";"2781";8786.10769511;8951.00563809;8719.66836224;8906.93476142;31288157264.19;163760453116.409;"2020-05-25T23:59:59.999Z"
"2020-05-24T00:00:00.000Z";"2020-05-24T23:59:59.999Z";"2020-05-24T10:28:02.000Z";"2020-05-24T23:48:00.000Z";"2781";9212.28340427;9288.40401564;8787.251002;8790.36800074;32518803299.58;161610414642.629;"2020-05-24T23:59:59.999Z"
"2020-05-23T00:00:00.000Z";"2020-05-23T23:59:59.999Z";"2020-05-23T03:28:00.000Z";"2020-05-23T10:32:01.000Z";"2781";9185.06272737;9302.50164919;9118.10885548;9209.28742769;27727866811.67;169305492439.588;"2020-05-23T23:59:59.999Z"
"2020-05-22T00:00:00.000Z";"2020-05-22T23:59:59.999Z";"2020-05-22T17:07:02.000Z";"2020-05-22T04:43:00.000Z";"2781";9080.33473763;9232.93609283;9008.63827133;9182.57751787;29810773699.23;168807619957.283;"2020-05-22T23:59:59.999Z"
"2020-05-21T00:00:00.000Z";"2020-05-21T23:59:59.999Z";"2020-05-21T00:45:00.000Z";"2020-05-21T19:01:00.000Z";"2781";9522.74008319;9555.24217533;8869.93110855;9081.76202252;39326160532.43;166947987863.53;"2020-05-21T23:59:59.999Z"
"2020-05-20T00:00:00.000Z";"2020-05-20T23:59:59.999Z";"2020-05-20T06:42:00.000Z";"2020-05-20T17:24:00.000Z";"2781";9725.32936525;9804.79388786;9447.20154126;9522.98115678;36546239702.55;175050963474.872;"2020-05-20T23:59:59.999Z"
"2020-05-19T00:00:00.000Z";"2020-05-19T23:59:59.999Z";"2020-05-19T11:22:01.000Z";"2020-05-19T05:31:03.000Z";"2781";9727.06360375;9836.04752405;9539.62405543;9729.0379192;39254288954.98;178831635026.347;"2020-05-19T23:59:59.999Z"
"2020-05-18T00:00:00.000Z";"2020-05-18T23:59:59.999Z";"2020-05-18T01:43:00.000Z";"2020-05-18T10:03:00.000Z";"2781";9675.69498013;9906.03020325;9570.35898532;9726.5748149;41827139895.62;178779483463.616;"2020-05-18T23:59:59.999Z"
"2020-05-17T00:00:00.000Z";"2020-05-17T23:59:59.999Z";"2020-05-17T16:15:00.000Z";"2020-05-17T00:08:00.000Z";"2781";9374.92998661;9823.0022878;9349.5460711;9670.73937122;40084250662.96;177745404470.085;"2020-05-17T23:59:59.999Z"
"2020-05-16T00:00:00.000Z";"2020-05-16T23:59:59.999Z";"2020-05-16T05:32:00.000Z";"2020-05-16T00:19:00.000Z";"2781";9333.23987276;9564.20498908;9260.69416318;9377.0140257;36164766407.63;172340956578.561;"2020-05-16T23:59:59.999Z"
"2020-05-15T00:00:00.000Z";"2020-05-15T23:59:59.999Z";"2020-05-15T00:05:01.000Z";"2020-05-15T20:58:00.000Z";"2781";9734.29077525;9755.82849814;9261.3979997;9328.19722645;48158802327.34;171436341789.485;"2020-05-15T23:59:59.999Z"
"2020-05-14T00:00:00.000Z";"2020-05-14T23:59:59.999Z";"2020-05-14T10:10:00.000Z";"2020-05-14T01:48:01.000Z";"2781";9271.32863776;9793.26820869;9255.03484619;9733.72147137;56426907637.29;178881641547.089;"2020-05-14T23:59:59.999Z"
"2020-05-13T00:00:00.000Z";"2020-05-13T23:59:59.999Z";"2020-05-13T21:28:01.000Z";"2020-05-13T00:00:01.000Z";"2781";8805.38781338;9317.87855411;8805.38781338;9269.98770576;45558144023.02;170352710071.21;"2020-05-13T23:59:59.999Z"
"2020-05-12T00:00:00.000Z";"2020-05-12T23:59:59.999Z";"2020-05-12T17:22:01.000Z";"2020-05-12T00:05:01.000Z";"2781";8610.38621232;8949.89797874;8569.64398804;8804.47781074;42142717533.17;161791577300.916;"2020-05-12T23:59:59.999Z"
"2020-05-11T00:00:00.000Z";"2020-05-11T23:59:59.999Z";"2020-05-11T12:31:00.000Z";"2020-05-11T18:24:01.000Z";"2781";8755.5356389;9033.47117613;8374.32297508;8601.79620238;57119858801.94;158059235275.589;"2020-05-11T23:59:59.999Z"
"2020-05-10T00:00:00.000Z";"2020-05-10T23:59:59.999Z";"2020-05-10T00:02:03.000Z";"2020-05-10T17:02:01.000Z";"2781";9591.16923131;9595.58062909;8395.10745112;8756.43114193;63325279336.96;160884755210.801;"2020-05-10T23:59:59.999Z"
"2020-05-09T00:00:00.000Z";"2020-05-09T23:59:59.999Z";"2020-05-09T01:16:01.000Z";"2020-05-09T11:48:00.000Z";"2781";9840.90638396;9913.86299284;9580.64449235;9593.89673363;46566121841.11;176251395672.863;"2020-05-09T23:59:59.999Z"
"2020-05-08T00:00:00.000Z";"2020-05-08T23:59:59.999Z";"2020-05-08T00:53:01.000Z";"2020-05-08T07:05:01.000Z";"2781";9936.16248196;9996.74335304;9767.17307027;9842.66636785;51780748041.95;180804859844.221;"2020-05-08T23:59:59.999Z"
"2020-05-07T00:00:00.000Z";"2020-05-07T23:59:59.999Z";"2020-05-07T23:52:00.000Z";"2020-05-07T02:03:02.000Z";"2781";9261.89505826;9992.66392105;9138.32257195;9951.5187451;61112700562.08;182787376636.504;"2020-05-07T23:59:59.999Z"
"2020-05-06T00:00:00.000Z";"2020-05-06T23:59:59.999Z";"2020-05-06T23:05:00.000Z";"2020-05-06T00:50:01.000Z";"2781";9007.44125582;9411.46787039;8966.70598977;9268.76208066;49371886931.48;170229620935.298;"2020-05-06T23:59:59.999Z"
"2020-05-05T00:00:00.000Z";"2020-05-05T23:59:59.999Z";"2020-05-05T05:08:00.000Z";"2020-05-05T11:00:01.000Z";"2781";8912.8321603;9062.41456364;8856.82715528;9003.07017834;43148462663.17;165332488791.878;"2020-05-05T23:59:59.999Z"
"2020-05-04T00:00:00.000Z";"2020-05-04T23:59:59.999Z";"2020-05-04T22:03:00.000Z";"2020-05-04T05:42:00.000Z";"2781";8895.74487399;8956.90651911;8645.02412633;8912.65460539;45718796275.55;163654493632.392;"2020-05-04T23:59:59.999Z"
"2020-05-03T00:00:00.000Z";"2020-05-03T23:59:59.999Z";"2020-05-03T04:35:01.000Z";"2020-05-03T15:55:00.000Z";"2781";8983.61414879;9167.7813443;8830.97125528;8897.46850985;47101785174.26;163358189150.984;"2020-05-03T23:59:59.999Z"
